Entity,Code,Year,Hospital beds (total number)
Afghanistan,AFG,1960,1535
Afghanistan,AFG,1970,2224
Afghanistan,AFG,1981,3630
Afghanistan,AFG,1987,3587
Afghanistan,AFG,1990,3101
Afghanistan,AFG,2000,6234
Afghanistan,AFG,2001,8643
Afghanistan,AFG,2002,9040
Afghanistan,AFG,2003,9472
Afghanistan,AFG,2004,9891
Afghanistan,AFG,2005,10262
Afghanistan,AFG,2006,10573
Afghanistan,AFG,2007,10840
Afghanistan,AFG,2008,11089
Afghanistan,AFG,2009,11358
Afghanistan,AFG,2010,11674
Afghanistan,AFG,2011,12047
Afghanistan,AFG,2012,15581
Afghanistan,AFG,2013,16135
Afghanistan,AFG,2014,16685
Afghanistan,AFG,2015,17207
Albania,ALB,1960,8209
Albania,ALB,1980,11414
Albania,ALB,1981,11414
Albania,ALB,1982,11585
Albania,ALB,1983,11621
Albania,ALB,1984,12021
Albania,ALB,1985,12271
Albania,ALB,1986,12301
Albania,ALB,1987,12242
Albania,ALB,1988,12367
Albania,ALB,1989,13338
Albania,ALB,1990,13228
Albania,ALB,1991,13063
Albania,ALB,1992,13032
Albania,ALB,1993,12365
Albania,ALB,1994,9677
Albania,ALB,1995,10169
Albania,ALB,1996,9948
Albania,ALB,1997,9602
Albania,ALB,1998,9542
Albania,ALB,1999,9420
Albania,ALB,2000,10194
Albania,ALB,2001,10099
Albania,ALB,2002,9458
Albania,ALB,2003,9423
Albania,ALB,2004,9081
Albania,ALB,2005,9336
Albania,ALB,2006,9277
Albania,ALB,2007,9207
Albania,ALB,2009,8805
Albania,ALB,2010,8708
Albania,ALB,2011,8374
Albania,ALB,2012,8366
Albania,ALB,2013,8366
Algeria,DZA,1960,35246
Algeria,DZA,1970,41117
Algeria,DZA,1986,57488
Algeria,DZA,1988,64262
Algeria,DZA,1989,64382
Algeria,DZA,1990,64379
Algeria,DZA,1994,59339
Algeria,DZA,1998,63405
Algeria,DZA,2004,55577
Algeria,DZA,2015,75483
Andorra,AND,1996,205
Andorra,AND,1997,193
Andorra,AND,1998,198
Andorra,AND,1999,206
Andorra,AND,2000,209
Andorra,AND,2001,174
Andorra,AND,2003,242
Andorra,AND,2005,213
Andorra,AND,2006,211
Andorra,AND,2007,215
Andorra,AND,2009,211
Angola,AGO,1960,11245
Angola,AGO,1970,16028
Angola,AGO,1990,15300
Angola,AGO,2005,15547
Antigua and Barbuda,ATG,1960,417
Antigua and Barbuda,ATG,1970,419
Antigua and Barbuda,ATG,1990,413
Antigua and Barbuda,ATG,1993,402
Antigua and Barbuda,ATG,1996,272
Antigua and Barbuda,ATG,2001,201
Antigua and Barbuda,ATG,2002,180
Antigua and Barbuda,ATG,2003,198
Antigua and Barbuda,ATG,2004,193
Antigua and Barbuda,ATG,2005,196
Antigua and Barbuda,ATG,2006,198
Antigua and Barbuda,ATG,2007,168
Antigua and Barbuda,ATG,2008,145
Antigua and Barbuda,ATG,2009,191
Antigua and Barbuda,ATG,2010,194
Antigua and Barbuda,ATG,2011,187
Antigua and Barbuda,ATG,2013,357
Antigua and Barbuda,ATG,2014,352
Arab World,,1960,177693
Arab World,,1970,233571
Arab World,,1975,221798
Arab World,,1981,289780
Arab World,,1990,399792
Arab World,,2000,451161
Arab World,,2001,472875
Arab World,,2002,464039
Arab World,,2003,473972
Arab World,,2004,496376
Arab World,,2005,513477
Arab World,,2006,532859
Arab World,,2007,534118
Arab World,,2008,553635
Arab World,,2009,529945
Arab World,,2010,542812
Arab World,,2011,421345
Arab World,,2012,430274
Arab World,,2013,437383
Arab World,,2014,630165
Argentina,ARG,1960,130105
Argentina,ARG,1970,133392
Argentina,ARG,1990,149860
Argentina,ARG,1993,156263
Argentina,ARG,1996,115961
Argentina,ARG,2000,151170
Argentina,ARG,2005,155572
Argentina,ARG,2010,183548
Argentina,ARG,2011,185677
Argentina,ARG,2012,196146
Argentina,ARG,2013,206794
Argentina,ARG,2014,213348
Armenia,ARM,1980,26024
Armenia,ARM,1981,27006
Armenia,ARM,1982,27730
Armenia,ARM,1983,27684
Armenia,ARM,1984,28454
Armenia,ARM,1985,29020
Armenia,ARM,1986,30612
Armenia,ARM,1987,31056
Armenia,ARM,1988,32209
Armenia,ARM,1989,31955
Armenia,ARM,1990,32179
Armenia,ARM,1991,29897
Armenia,ARM,1992,28808
Armenia,ARM,1993,27627
Armenia,ARM,1994,25501
Armenia,ARM,1995,24581
Armenia,ARM,1996,22589
Armenia,ARM,1997,21148
Armenia,ARM,1998,20704
Armenia,ARM,1999,19152
Armenia,ARM,2000,19645
Armenia,ARM,2001,15253
Armenia,ARM,2002,13046
Armenia,ARM,2003,13279
Armenia,ARM,2004,13203
Armenia,ARM,2005,13416
Armenia,ARM,2006,13017
Armenia,ARM,2007,12024
Armenia,ARM,2008,11049
Armenia,ARM,2009,10686
Armenia,ARM,2010,10646
Armenia,ARM,2011,10643
Armenia,ARM,2012,11537
Armenia,ARM,2013,11880
Armenia,ARM,2015,12287
Australia,AUS,1960,115097
Australia,AUS,1961,118458
Australia,AUS,1962,122459
Australia,AUS,1963,128115
Australia,AUS,1964,131771
Australia,AUS,1965,135517
Australia,AUS,1966,137482
Australia,AUS,1967,139228
Australia,AUS,1968,141706
Australia,AUS,1969,143477
Australia,AUS,1970,146332
Australia,AUS,1971,150069
Australia,AUS,1972,155489
Australia,AUS,1973,157884
Australia,AUS,1974,164676
Australia,AUS,1975,165327
Australia,AUS,1976,166993
Australia,AUS,1977,171723
Australia,AUS,1978,173732
Australia,AUS,1979,177071
Australia,AUS,1980,180712
Australia,AUS,1981,182109
Australia,AUS,1982,183654
Australia,AUS,1983,182891
Australia,AUS,1984,181865
Australia,AUS,1985,171762
Australia,AUS,1987,170771
Australia,AUS,1989,164781
Australia,AUS,1991,159013
Australia,AUS,1992,155705
Australia,AUS,1993,157236
Australia,AUS,1994,155338
Australia,AUS,1995,157226
