iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
KHM,Cambodia,6/1/2021,30710,616,220,6,4686,1162111,0.102,9.8,tests performed,4671201,2648859,2022342,57639
KHM,Cambodia,6/2/2021,31460,750,230,10,5517,1167628,0.102,9.8,tests performed,4723944,2665822,2058122,52743
KHM,Cambodia,6/3/2021,32189,729,236,6,5785,1173413,0.104,9.6,tests performed,4782587,2688014,2094573,58643
KHM,Cambodia,6/4/2021,33075,886,242,6,4654,1178067,0.109,9.2,tests performed,4839260,2710359,2128901,56673
KHM,Cambodia,6/5/2021,33613,538,252,10,5394,1183461,0.137,7.3,tests performed,4894315,2735199,2159116,55055
KHM,Cambodia,6/6/2021,34244,631,263,11,6226,1189687,0.131,7.6,tests performed,4938642,2754341,2184301,44327
KHM,Cambodia,6/7/2021,34833,589,266,3,6101,1195788,0.124,8.1,tests performed,4969942,2766198,2203744,31300
KHM,Cambodia,6/8/2021,35511,678,278,12,5617,1201405,0.122,8.2,tests performed,5005581,2770433,2235148,35639
KHM,Cambodia,6/9/2021,36240,729,289,11,6832,1208237,0.118,8.5,tests performed,5050186,2770611,2279575,44605
KHM,Cambodia,6/10/2021,36666,426,300,11,6657,1214894,0.108,9.3,tests performed,5128310,2794894,2333416,78124
KHM,Cambodia,6/11/2021,37321,655,311,11,7117,1222011,0.097,10.3,tests performed,5223954,2836482,2387472,95644
KHM,Cambodia,6/12/2021,37959,638,320,9,7176,1229187,0.095,10.5,tests performed,5325094,2885619,2439475,101140
KHM,Cambodia,6/13/2021,38427,468,335,15,8920,1238107,0.086,11.6,tests performed,5428433,2939543,2488890,103339
KHM,Cambodia,6/14/2021,38969,542,348,13,5807,1243914,0.086,11.6,tests performed,5537538,3000264,2537274,109105
KHM,Cambodia,6/15/2021,39464,495,361,13,9649,1253563,0.076,13.2,tests performed,5667915,3076775,2591140,130377
KHM,Cambodia,6/16/2021,40157,693,368,7,9299,1262862,0.072,13.9,tests performed,5762050,3138584,2623466,94135
KHM,Cambodia,6/17/2021,40782,625,380,12,6379,1269241,0.076,13.2,tests performed,5839250,3199642,2639608,77200
KHM,Cambodia,6/18/2021,41581,799,394,14,8517,1277758,0.076,13.1,tests performed,5924894,3257857,2667037,85644
KHM,Cambodia,6/19/2021,42052,471,414,20,9754,1287512,0.07,14.2,tests performed,6012998,3310660,2702329,88104
KHM,Cambodia,6/20/2021,42711,659,431,17,8499,1296011,0.074,13.5,tests performed,6098584,3366207,2732377,85586
KHM,Cambodia,6/21/2021,43446,735,441,10,7305,1303316,0.075,13.3,tests performed,6171269,3416075,2755194,72685
KHM,Cambodia,6/22/2021,44124,678,459,18,5913,1309229,0.084,11.9,tests performed,6275739,3517943,2757796,104470
KHM,Cambodia,6/23/2021,44711,587,475,16,6207,1315436,0.087,11.5,tests performed,6378584,3619420,2759164,102845
KHM,Cambodia,6/24/2021,45366,655,493,18,5763,1321199,0.088,11.3,tests performed,6478528,3715751,2762777,99944
KHM,Cambodia,6/25/2021,46065,699,509,16,6966,1328165,0.089,11.2,tests performed,6616277,3803169,2813108,137749
KHM,Cambodia,6/26/2021,46810,745,523,14,5411,1333576,0.103,9.7,tests performed,6729736,3886534,2843202,113459
KHM,Cambodia,6/27/2021,47649,839,540,17,6040,1339616,0.113,8.8,tests performed,6836447,3955033,2881414,106711
KHM,Cambodia,6/28/2021,48532,883,556,16,5826,1345442,0.121,8.3,tests performed,6957895,4019751,2938144,121448
KHM,Cambodia,6/29/2021,49255,723,575,19,6534,1351976,0.12,8.3,tests performed,7093483,4100104,2993379,135588
KHM,Cambodia,6/30/2021,50385,1130,602,27,6278,1358254,0.133,7.5,tests performed,7251656,4202751,3048905,158173
KHM,Cambodia,7/1/2021,51384,999,628,26,6576,1364830,0.138,7.3,tests performed,7408517,4304572,3103945,156861
KHM,Cambodia,7/2/2021,52350,966,660,32,6754,1371584,0.145,6.9,tests performed,7558008,4391526,3166482,149491
KHM,Cambodia,7/3/2021,53298,948,696,36,7253,1378837,0.143,7,tests performed,7690814,4469661,3221153,132806
KHM,Cambodia,7/4/2021,54291,993,720,24,6143,1384980,0.146,6.8,tests performed,7814310,4535894,3278416,123496
KHM,Cambodia,7/5/2021,55187,896,748,28,,,0.145,6.9,tests performed,7929378,4599648,3329730,115068
KHM,Cambodia,7/6/2021,56122,935,779,31,,1397664,0.15,6.7,tests performed,8031138,4654451,3376687,101760
KHM,Cambodia,7/7/2021,57103,981,798,19,,,0.058,17.3,tests performed,8142185,4701255,3440930,111047
KHM,Cambodia,7/8/2021,58057,954,825,27,,1551653,0.036,28,tests performed,8272286,4750265,3522021,130101
KHM,Cambodia,7/9/2021,59045,988,855,30,6433,1558086,0.036,27.9,tests performed,8421951,4793197,3628754,149665
KHM,Cambodia,7/10/2021,59978,933,881,26,6020,1564106,0.036,27.7,tests performed,8560543,4845588,3714955,138592
KHM,Cambodia,7/11/2021,60959,981,902,21,8370,1572476,0.036,28.1,tests performed,8700167,4903845,3796322,139624
KHM,Cambodia,7/12/2021,61870,911,925,23,7274,1579750,0.035,28.2,tests performed,8862995,4996723,3866272,162828
KHM,Cambodia,7/13/2021,62700,830,953,28,,,,,,9052857,5104846,3948011,189862
KHM,Cambodia,7/14/2021,63615,915,986,33,,,,,,9242925,5240159,4002766,190068
KHM,Cambodia,7/15/2021,64611,996,1025,39,,,,,,9453858,5417348,4036510,210933
KHM,Cambodia,7/16/2021,65500,889,1052,27,,,,,,9674498,5601064,4073434,220640
KHM,Cambodia,7/17/2021,66336,836,1076,24,,,,,,9877592,5767616,4109976,203094
KHM,Cambodia,7/18/2021,67181,845,1106,30,,,,,,10043602,5912545,4131057,166010
